drug_name,ddinter_id
Frangula purshiana bark,DDInter787
Frovatriptan,DDInter788
Fulvestrant,DDInter789
Furosemide,DDInter790
Gabapentin,DDInter791
Gadodiamide,DDInter794
Gadoversetamide,DDInter799
Galactose,DDInter801
Galantamine,DDInter802
Gallium chloride Ga-67,DDInter803
Gallium nitrate,DDInter804
Ganciclovir,DDInter806
Garlic,DDInter808
Gatifloxacin,DDInter809
Gefitinib,DDInter810
Gemcitabine,DDInter811
Gemfibrozil,DDInter812
Gemifloxacin,DDInter813
Gemtuzumab ozogamicin,DDInter814
Gentamicin,DDInter815
Gentamicin (topical),DDInter816
Gilteritinib,DDInter817
Ginger,DDInter818
Ginkgo biloba,DDInter819
Ginseng,DDInter820
Givosiran,DDInter821
Glasdegib,DDInter822
Glecaprevir,DDInter824
Glimepiride,DDInter825
Glipizide,DDInter826
Glucagon,DDInter827
Glucarpidase,DDInter828
Glucosamine,DDInter829
Glutamic acid,DDInter830
Glyburide,DDInter831
Glycerin,DDInter832
Glycerol phenylbutyrate,DDInter833
Glycopyrronium,DDInter834
Glycopyrronium (topical),DDInter835
Goldenseal,DDInter836
Golimumab,DDInter837
Goserelin,DDInter839
Granisetron,DDInter840
Grazoprevir,DDInter841
Grepafloxacin,DDInter842
Griseofulvin,DDInter843
Guanabenz,DDInter844
Guanadrel,DDInter845
Guanethidine,DDInter846
Guanfacine,DDInter847
Guanidine,DDInter848
Guselkumab,DDInter849
Halazepam,DDInter850
Halcinonide (topical),DDInter851
Halofantrine,DDInter852
Haloperidol,DDInter853
Halothane,DDInter854
Hemin,DDInter855
Heparin,DDInter856
Heparin (flush),DDInter857
Hepatitis A Vaccine,DDInter858
Hepatitis B Vaccine (Recombinant),DDInter860
Hexachlorophene (topical),DDInter861
Histamine,DDInter863
Histrelin,DDInter864
Homatropine,DDInter865
Human C1-esterase inhibitor,DDInter869
Human Rho(D) immune globulin,DDInter877
Human adenovirus e serotype 4 strain cl-68578 antigen,DDInter867
Human botulinum neurotoxin A/B immune globulin,DDInter868
Human cytomegalovirus immune globulin,DDInter870
Human immunoglobulin G (intravenous and subcutaneous),DDInter872
Human immunoglobulin G (intravenous),DDInter873
Human papillomavirus type 11 L1 capsid protein antigen,DDInter875
Hyaluronic acid,DDInter880
Hyaluronidase,DDInter881
Hydralazine,DDInter882
Hydrochlorothiazide,DDInter883
Hydrocodone,DDInter884
Hydrocortisone,DDInter885
Hydrocortisone (ophthalmic),DDInter886
Hydrocortisone (topical),DDInter887
Hydrocortisone butyrate,DDInter888
Hydroflumethiazide,DDInter889
Hydromorphone,DDInter890
Hydroxocobalamin,DDInter891
Hydroxyamphetamine (ophthalmic),DDInter892
Hydroxychloroquine,DDInter893
Hydroxyurea,DDInter894
Hydroxyzine,DDInter895
Hyoscyamine,DDInter896
Ibandronate,DDInter897
Ibritumomab tiuxetan,DDInter898
Ibrutinib,DDInter899
Ibuprofen,DDInter900
Ibutilide,DDInter901
Icatibant,DDInter902
Icosapent,DDInter903
Idarubicin,DDInter904
Idelalisib,DDInter905
Ifosfamide,DDInter906
Iloperidone,DDInter907
Iloprost,DDInter908
Imatinib,DDInter909
Imiglucerase,DDInter910
Imipenem,DDInter911
Imipramine,DDInter912
Imiquimod,DDInter913
Imiquimod (topical),DDInter914
Indacaterol,DDInter915
Indapamide,DDInter916
Indinavir,DDInter917
Indium In-111 oxyquinoline,DDInter918
Indomethacin,DDInter921
Inebilizumab,DDInter922
Infliximab,DDInter923
Influenza A virus A/California/7/2009 (H1N1)-like antigen (propiolactone inactivated),DDInter924
Influenza A virus A/Vietnam/1194/2004 (H5N1) antigen (formaldehyde inactivated),DDInter925
Inotersen,DDInter926
Inotuzumab ozogamicin,DDInter927
Insulin aspart (aspart protamine),DDInter928
Insulin aspart (aspart),DDInter929
Insulin degludec,DDInter930
Insulin detemir,DDInter931
Insulin glargine,DDInter932
Insulin glulisine,DDInter933
Insulin human,DDInter934
"Insulin human (inhalation, rapid acting)",DDInter935
Insulin human (isophane),DDInter936
Insulin human (regular),DDInter937
Insulin human (zinc extended),DDInter938
Insulin human (zinc),DDInter939
Insulin lispro,DDInter940
Insulin lispro (protamine),DDInter941
"Interferon alfa-2a, Recombinant",DDInter942
Interferon alfa-2b,DDInter943
Interferon alfa-n1,DDInter944
Interferon alfa-n3,DDInter945
Interferon alfacon-1,DDInter946
Interferon beta-1a,DDInter947
Interferon beta-1b,DDInter948
Interferon gamma-1b,DDInter949
Inulin,DDInter950
Iobenguane (I-123),DDInter951
Iobenguane (I-131),DDInter952
Iodide I-123,DDInter953
Iodide I-131,DDInter954
Iodine,DDInter955
Iodine (topical),DDInter956
Iodipamide,DDInter957
Iodixanol,DDInter958
Ioflupane I-123,DDInter959
Iohexol,DDInter960
Iopamidol,DDInter961
Iopromide,DDInter964
Iothalamic acid,DDInter965
Ioversol,DDInter966
Ioxilan,DDInter967
Ipecac,DDInter968
Ipilimumab,DDInter969
Ipratropium,DDInter970
Ipratropium (nasal),DDInter971
Irbesartan,DDInter972
Irinotecan,DDInter973
Irinotecan (liposomal),DDInter974
Iron,DDInter975
Iron Dextran,DDInter976
Iron protein succinylate,DDInter977
Iron sucrose,DDInter978
Isatuximab,DDInter979
Isavuconazonium,DDInter980
Isocarboxazid,DDInter981
Isoetharine,DDInter982
Isoflurane,DDInter983
Isoflurophate (ophthalmic),DDInter984
Isometheptene,DDInter985
Isoniazid,DDInter986
Isoprenaline,DDInter987
Isosorbide,DDInter988
Isosorbide dinitrate,DDInter989
Isosorbide mononitrate,DDInter990
Isotretinoin,DDInter991
Isoxsuprine,DDInter992
Isradipine,DDInter993
Istradefylline,DDInter994
Itraconazole,DDInter995
Ivabradine,DDInter996
Ivacaftor,DDInter997
Ivermectin,DDInter998
Ivermectin (topical),DDInter999
Ivosidenib,DDInter1000
Ixabepilone,DDInter1001
Ixazomib,DDInter1002
Ixekizumab,DDInter1003
Kanamycin,DDInter1004
Kaolin,DDInter1005
Kava,DDInter1006
Ketamine,DDInter1007
Ketoconazole,DDInter1008
Ketoprofen,DDInter1009
Ketorolac,DDInter1010
Ketorolac (ophthalmic),DDInter1011
Ketotifen,DDInter1012
Labetalol,DDInter1013
Lacosamide,DDInter1014
Lactic acid,DDInter1015
Lactitol,DDInter1016
Lactobacillus acidophilus,DDInter1017
Lactulose,DDInter1018
Lamivudine,DDInter1019
Lamotrigine,DDInter1020
Lanreotide,DDInter1021
Lansoprazole,DDInter1022
Lanthanum carbonate,DDInter1023
Lapatinib,DDInter1024
Laronidase,DDInter1025
Larotrectinib,DDInter1026
Lasmiditan,DDInter1027
